Timestamps,Temperature_C,Depth_m,Static_level_masl
2024-05-23 00:00:00,3.172,0.1917000000000001,3827.3053
2024-05-23 00:05:00,3.17,0.1913,3827.3057
2024-05-23 00:10:00,3.171,0.192,3827.305
2024-05-23 00:15:00,3.171,0.1927000000000001,3827.3043
2024-05-23 00:20:00,3.171,0.1928,3827.3042
2024-05-23 00:25:00,3.168,0.1933,3827.3037
2024-05-23 00:30:00,3.17,0.1938,3827.3032
2024-05-23 00:35:00,3.168,0.194,3827.303
2024-05-23 00:40:00,3.169,0.1937000000000001,3827.3033
2024-05-23 00:45:00,3.167,0.1944,3827.3026
2024-05-23 00:50:00,3.167,0.1963,3827.3007
2024-05-23 00:55:00,3.167,0.1956000000000001,3827.3014
2024-05-23 01:00:00,3.165,0.1962,3827.3008
2024-05-23 01:05:00,3.166,0.1966000000000001,3827.3004
2024-05-23 01:10:00,3.165,0.1951,3827.3019
2024-05-23 01:15:00,3.164,0.1973,3827.2997
2024-05-23 01:20:00,3.165,0.1958,3827.3012
2024-05-23 01:25:00,3.165,0.1956000000000001,3827.3014
2024-05-23 01:30:00,3.162,0.198,3827.299
2024-05-23 01:35:00,3.163,0.1976,3827.2994
2024-05-23 01:40:00,3.163,0.1972,3827.2998
2024-05-23 01:45:00,3.161,0.1975,3827.2995
2024-05-23 01:50:00,3.16,0.1994,3827.2976
2024-05-23 01:55:00,3.159,0.1992,3827.2978
2024-05-23 02:00:00,3.162,0.1989,3827.2981
2024-05-23 02:05:00,3.159,0.1993,3827.2977
2024-05-23 02:10:00,3.162,0.1989,3827.2981
2024-05-23 02:15:00,3.161,0.1991,3827.2979
2024-05-23 02:20:00,3.16,0.1994,3827.2976
2024-05-23 02:25:00,3.159,0.2005,3827.2965
2024-05-23 02:30:00,3.16,0.2004,3827.2966
2024-05-23 02:35:00,3.158,0.2007000000000001,3827.2963
2024-05-23 02:40:00,3.16,0.2004,3827.2966
2024-05-23 02:45:00,3.159,0.2011,3827.2959
2024-05-23 02:50:00,3.156,0.2013,3827.2957
2024-05-23 02:55:00,3.158,0.2011,3827.2959
2024-05-23 03:00:00,3.157,0.2017000000000001,3827.2953
2024-05-23 03:05:00,3.156,0.202,3827.295
2024-05-23 03:10:00,3.156,0.2032,3827.2938
2024-05-23 03:15:00,3.155,0.2033,3827.2937
2024-05-23 03:20:00,3.156,0.2035,3827.2935
2024-05-23 03:25:00,3.155,0.2041,3827.2929
2024-05-23 03:30:00,3.154,0.2037000000000001,3827.2933
2024-05-23 03:35:00,3.154,0.2046,3827.2924
2024-05-23 03:40:00,3.155,0.205,3827.292
2024-05-23 03:45:00,3.152,0.2044,3827.2926
2024-05-23 03:50:00,3.152,0.2066,3827.2904
2024-05-23 03:55:00,3.152,0.2056,3827.2914
2024-05-23 04:00:00,3.152,0.2061,3827.2909
2024-05-23 04:05:00,3.153,0.2067000000000001,3827.2903
2024-05-23 04:10:00,3.152,0.2055,3827.2915
2024-05-23 04:15:00,3.153,0.2075,3827.2895
2024-05-23 04:20:00,3.151,0.2067000000000001,3827.2903
2024-05-23 04:25:00,3.15,0.2074,3827.2896
2024-05-23 04:30:00,3.148,0.2071,3827.2899
2024-05-23 04:35:00,3.149,0.2085,3827.2885
2024-05-23 04:40:00,3.147,0.209,3827.288
2024-05-23 04:45:00,3.15,0.2088000000000001,3827.2882
2024-05-23 04:50:00,3.149,0.2085,3827.2885
2024-05-23 04:55:00,3.148,0.2085,3827.2885
2024-05-23 05:00:00,3.149,0.2092,3827.2878
2024-05-23 05:05:00,3.148,0.2099000000000001,3827.2871
2024-05-23 05:10:00,3.145,0.2103,3827.2867
2024-05-23 05:15:00,3.147,0.21,3827.287
2024-05-23 05:20:00,3.148,0.2101,3827.2869
2024-05-23 05:25:00,3.144,0.2107,3827.2863
2024-05-23 05:30:00,3.145,0.2117,3827.2853
2024-05-23 05:35:00,3.145,0.2121,3827.2849
2024-05-23 05:40:00,3.145,0.2117,3827.2853
2024-05-23 05:45:00,3.143,0.2117,3827.2853
2024-05-23 05:50:00,3.144,0.2121,3827.2849
2024-05-23 05:55:00,3.146,0.2123,3827.2847
2024-05-23 06:00:00,3.142,0.2122,3827.2848
2024-05-23 06:05:00,3.143,0.2132,3827.2838
2024-05-23 06:10:00,3.144,0.2132,3827.2838
2024-05-23 06:15:00,3.142,0.2144,3827.2826
2024-05-23 06:20:00,3.142,0.2135,3827.2835
2024-05-23 06:25:00,3.141,0.214,3827.283
2024-05-23 06:30:00,3.142,0.2142,3827.2828
2024-05-23 06:35:00,3.143,0.215,3827.282
2024-05-23 06:40:00,3.142,0.2152,3827.2818
2024-05-23 06:45:00,3.14,0.216,3827.281
2024-05-23 06:50:00,3.142,0.2155,3827.2815
2024-05-23 06:55:00,3.141,0.2169000000000001,3827.2801
2024-05-23 07:00:00,3.139,0.2162,3827.2808
2024-05-23 07:05:00,3.141,0.2162,3827.2808
2024-05-23 07:10:00,3.14,0.2171,3827.2799
2024-05-23 07:15:00,3.138,0.2169000000000001,3827.2801
2024-05-23 07:20:00,3.14,0.2184,3827.2786
2024-05-23 07:25:00,3.138,0.2176,3827.2794
2024-05-23 07:30:00,3.138,0.2171,3827.2799
2024-05-23 07:35:00,3.138,0.2173,3827.2797
2024-05-23 07:40:00,3.135,0.2176,3827.2794
2024-05-23 07:45:00,3.138,0.2184,3827.2786
2024-05-23 07:50:00,3.136,0.2182,3827.2788
2024-05-23 07:55:00,3.136,0.2194,3827.2776
2024-05-23 08:00:00,3.137,0.2186,3827.2784
2024-05-23 08:05:00,3.139,0.2206,3827.2764
2024-05-23 08:10:00,3.136,0.2202,3827.2768
2024-05-23 08:15:00,3.136,0.2222,3827.2748
2024-05-23 08:20:00,3.134,0.2218000000000001,3827.2752
2024-05-23 08:25:00,3.135,0.2231,3827.2739
2024-05-23 08:30:00,3.134,0.2228,3827.2742
2024-05-23 08:35:00,3.136,0.2237,3827.2733
2024-05-23 08:40:00,3.135,0.2253,3827.2717
2024-05-23 08:45:00,3.134,0.2254,3827.2716
2024-05-23 08:50:00,3.133,0.2246,3827.2724
2024-05-23 08:55:00,3.132,0.2251,3827.2719
2024-05-23 09:00:00,3.131,0.2256,3827.2714
2024-05-23 09:05:00,3.132,0.2261,3827.2709
2024-05-23 09:10:00,3.132,0.2267,3827.2703
2024-05-23 09:15:00,3.131,0.2274,3827.2696
2024-05-23 09:20:00,3.132,0.2277,3827.2693
2024-05-23 09:25:00,3.132,0.2276,3827.2694
2024-05-23 09:30:00,3.131,0.2272,3827.2698
